date,ymd,url,text_length,is_valid
2006-01-31,20060131,https://www.federalreserve.gov/monetarypolicy/fomcminutes20060131.htm,28770,False
2006-03-28,20060328,https://www.federalreserve.gov/monetarypolicy/fomcminutes20060328.htm,28770,False
2006-05-10,20060510,https://www.federalreserve.gov/monetarypolicy/fomcminutes20060510.htm,28770,False
2006-06-29,20060629,https://www.federalreserve.gov/monetarypolicy/fomcminutes20060629.htm,28770,False
2007-09-18,20070918,https://www.federalreserve.gov/monetarypolicy/fomcminutes20070918.htm,28770,False
2007-10-31,20071031,https://www.federalreserve.gov/monetarypolicy/fomcminutes20071031.htm,39132,True
2007-12-11,20071211,https://www.federalreserve.gov/monetarypolicy/fomcminutes20071211.htm,42412,True
2008-01-30,20080130,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080130.htm,66323,True
2008-03-18,20080318,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080318.htm,42871,True
2008-04-30,20080430,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080430.htm,48990,True
2008-10-29,20081029,https://www.federalreserve.gov/monetarypolicy/fomcminutes20081029.htm,55644,True
2008-12-16,20081216,https://www.federalreserve.gov/monetarypolicy/fomcminutes20081216.htm,53146,True
2009-01-28,20090128,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090128.htm,74586,True
2009-03-18,20090318,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090318.htm,48497,True
2009-04-29,20090429,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090429.htm,46107,True
2009-06-24,20090624,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090624.htm,57012,True
2009-08-12,20090812,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090812.htm,48290,True
2009-09-23,20090923,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090923.htm,51941,True
2009-11-04,20091104,https://www.federalreserve.gov/monetarypolicy/fomcminutes20091104.htm,48782,True
2009-12-16,20091216,https://www.federalreserve.gov/monetarypolicy/fomcminutes20091216.htm,57316,True
2010-01-27,20100127,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100127.htm,77726,True
2010-03-16,20100316,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100316.htm,47953,True
2010-04-28,20100428,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100428.htm,50882,True
2010-06-23,20100623,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100623.htm,56882,True
2010-08-10,20100810,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100810.htm,48927,True
2010-09-21,20100921,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100921.htm,44046,True
2010-11-03,20101103,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101103.htm,51687,True
2010-12-14,20101214,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101214.htm,48530,True
2011-01-26,20110126,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110126.htm,76644,True
2011-03-15,20110315,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110315.htm,48935,True
2011-04-27,20110427,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110427.htm,55666,True
2011-06-22,20110622,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110622.htm,54055,True
