date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt
1990-01-02,0.014433,0.014405,0.012481,0.012390,0.017799,359.69,3353768750.00,6810
1990-01-03,0.000022,-0.000002,0.006485,0.006365,-0.002586,358.76,3353400000.00,6809
1990-01-04,-0.006486,-0.006836,-0.000336,-0.000410,-0.008613,355.67,3324115400.00,6803
1990-01-05,-0.007631,-0.007657,0.000680,0.000664,-0.009756,352.20,3298736560.00,6805
1990-01-08,0.003075,0.002939,0.001957,0.001684,0.004514,353.79,3308151810.00,6805
1990-01-09,-0.009269,-0.009309,-0.001415,-0.001463,-0.011787,349.62,3277370970.00,6806
1990-01-10,-0.006844,-0.006861,-0.004610,-0.004629,-0.006607,347.31,3244428850.00,6807
1990-01-11,0.002619,0.002594,0.002212,0.002197,0.003513,348.53,3254327060.00,6805
1990-01-12,-0.022550,-0.022717,-0.015355,-0.015487,-0.024675,339.93,3180432470.00,6805
1990-01-15,-0.008903,-0.008903,-0.004993,-0.004993,-0.008619,337.00,3152877450.00,6805
1990-01-16,0.008722,0.008671,-0.001171,-0.001207,0.011128,340.75,3179938090.00,6804
1990-01-17,-0.006947,-0.006984,0.000124,-0.000048,-0.009831,337.40,3158084860.00,6808
1990-01-18,0.000333,0.000326,-0.002670,-0.002689,0.002341,338.19,3158652290.00,6807
1990-01-19,0.003150,0.003111,0.004832,0.004812,0.002839,339.15,3168112400.00,6805
1990-01-22,-0.022214,-0.022325,-0.011002,-0.011066,-0.025859,330.38,3096729510.00,6797
1990-01-23,-0.000081,-0.000110,-0.002137,-0.002178,0.003723,331.61,3096669430.00,6799
1990-01-24,-0.004773,-0.004922,-0.011452,-0.011503,-0.004071,330.26,3081900680.00,6800
1990-01-25,-0.009855,-0.009983,-0.000783,-0.000944,-0.012657,326.08,3050844480.00,6801
1990-01-26,-0.003405,-0.003536,-0.004488,-0.004577,-0.000859,325.80,3041101980.00,6809
1990-01-29,-0.002976,-0.003163,-0.006289,-0.006384,-0.001842,325.20,3030752800.00,6806
1990-01-30,-0.008592,-0.008807,-0.010780,-0.010862,-0.006827,322.98,3003409560.00,6803
1990-01-31,0.016312,0.016305,0.007105,0.007076,0.018887,329.08,3051636650.00,6803
1990-02-01,0.001097,0.000963,0.003167,0.003119,-0.000881,328.79,3054416600.00,6799
1990-02-02,0.007203,0.007071,0.006756,0.006722,0.006478,330.92,3076033720.00,6799
1990-02-05,0.004264,0.003664,0.003700,0.003522,0.002810,331.85,3087521990.00,6799
1990-02-06,-0.004798,-0.005078,0.000851,0.000798,-0.006599,329.66,3071785920.00,6799
