date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt
1990-01-31,-0.070114,-0.071947,-0.046408,-0.048037,-0.068817,329.08,3051636650.00,6803
1990-02-28,0.014900,0.010957,0.015434,0.013844,0.008539,331.89,3087818130.00,6795
1990-03-30,0.024148,0.021626,0.021315,0.019445,0.024255,339.94,3165283840.00,6800
1990-04-30,-0.028283,-0.030562,-0.028117,-0.029637,-0.026887,330.80,3070976920.00,6807
1990-05-31,0.088935,0.084648,0.045673,0.043835,0.091989,361.23,3330491030.00,6810
1990-06-29,-0.004193,-0.006736,0.005359,0.003616,-0.008886,358.02,3308344150.00,6797
1990-07-31,-0.009392,-0.011593,-0.025731,-0.027244,-0.005223,356.15,3271642060.00,6798
1990-08-31,-0.091903,-0.095716,-0.108920,-0.110706,-0.094314,322.56,2951948160.00,6784
1990-09-28,-0.053844,-0.056110,-0.080468,-0.082295,-0.051184,306.05,2783225260.00,6760
1990-10-31,-0.012499,-0.015049,-0.057155,-0.058745,-0.006698,304.00,2739330830.00,6740
1990-11-30,0.065742,0.061414,0.035468,0.033422,0.059934,322.22,2905485660.00,6716
1990-12-31,0.029511,0.026274,-0.004526,-0.007286,0.024828,330.22,2979693820.00,6705
1991-01-31,0.049083,0.046987,0.084175,0.082980,0.041518,343.93,3115197450.00,6675
1991-02-28,0.075848,0.071836,0.133898,0.132109,0.067281,367.07,3339106370.00,6662
1991-03-28,0.028922,0.026702,0.078293,0.076343,0.022203,375.22,3444735650.00,6660
1991-04-30,0.003311,0.001186,0.031957,0.030546,0.000346,375.35,3452264390.00,6639
1991-05-31,0.040737,0.037177,0.031368,0.029679,0.038577,389.83,3587705290.00,6655
1991-06-28,-0.044024,-0.046271,-0.031774,-0.033414,-0.047893,371.16,3448357820.00,6688
1991-07-31,0.046779,0.044984,0.034180,0.032928,0.044859,387.81,3610102520.00,6692
1991-08-30,0.026807,0.023275,0.027503,0.025961,0.019649,395.43,3698731620.00,6711
1991-09-30,-0.010979,-0.013078,0.008131,0.006653,-0.019144,387.86,3675768000.00,6734
1991-10-31,0.017847,0.016248,0.024656,0.023469,0.011860,392.46,3743886820.00,6764
1991-11-29,-0.037291,-0.040572,-0.023735,-0.025196,-0.043928,375.22,3598931380.00,6795
1991-12-31,0.106782,0.104147,0.035353,0.033415,0.111588,417.09,3998499680.00,6804
1992-01-31,-0.001164,-0.002591,0.149970,0.148971,-0.019900,408.79,3988867300.00,6815
1992-02-28,0.013355,0.010308,0.052124,0.050807,0.009565,412.70,4035709580.00,6836
1992-03-31,-0.023699,-0.025970,-0.014169,-0.015697,-0.021832,403.69,3976774290.00,6888
1992-04-30,0.013414,0.011872,-0.033262,-0.034313,0.027893,414.95,4019396190.00,6895
1992-05-29,0.006407,0.003302,0.005678,0.004201,0.000964,415.35,4032636530.00,6890
1992-06-30,-0.019258,-0.021665,-0.039225,-0.040764,-0.017359,408.14,3979600440.00,6888
1992-07-31,0.039900,0.038369,0.027617,0.026541,0.039374,424.21,4134059610.00,6853
1992-08-31,-0.020819,-0.023970,-0.023900,-0.025211,-0.023998,414.03,4038127250.00,6847
1992-09-30,0.012461,0.010286,0.011050,0.009658,0.009106,417.80,4094397290.00,6857
1992-10-30,0.010983,0.009546,0.016229,0.015221,0.002106,418.68,4138864660.00,6883
1992-11-30,0.040181,0.036954,0.066683,0.065261,0.030262,431.35,4297797860.00,6911
1992-12-31,0.017740,0.015533,0.035676,0.033877,0.010108,435.71,4398072120.00,6963
1993-01-29,0.012616,0.011300,0.067620,0.066832,0.007046,438.78,4453093540.00,6972
1993-02-26,0.005425,0.002664,-0.007198,-0.008448,0.010484,443.38,4476976470.00,7018
1993-03-31,0.025089,0.022659,0.031462,0.029964,0.018697,451.67,4613854550.00,7075
1993-04-30,-0.025391,-0.026714,-0.011112,-0.012115,-0.025417,440.19,4501739980.00,7120
1993-05-28,0.029572,0.026539,0.038752,0.037422,0.022718,450.19,4632508620.00,7190
1993-06-30,0.005434,0.003218,0.013419,0.011928,0.000755,450.53,4704253110.00,7272
1993-07-30,-0.000806,-0.002154,0.013717,0.012790,-0.005327,448.13,4702389240.00,7326
1993-08-31,0.039496,0.036565,0.039705,0.038389,0.034432,463.56,4886912910.00,7389
1993-09-30,0.000629,-0.001353,0.025533,0.024219,-0.009988,458.93,4912844620.00,7463
1993-10-29,0.018051,0.016730,0.040511,0.039527,0.019393,467.83,5003908580.00,7539
