asset,asset_col,period,n,r2_base,r2_lm,incr_r2_lm,r2_llm,incr_r2_llm,lm_coef,lm_pval,llm_coef,llm_pval
CRSP VW Return,vwretd_day,FG,57,0.1995759335903987,0.3058240070586985,0.10624807346829979,0.26582497110504744,0.06624903751464872,-2.597891341137477,0.006245631516534908,-0.015169808679818684,0.03318493725538398
CRSP VW Return,vwretd_day,Non-FG,60,0.05464324143653676,0.055659084593472685,0.001015843156935925,0.056372587865119894,0.001729346428583134,-0.0520834664759526,0.8070140809563064,0.001281947822527336,0.7498897639509481
CRSP VW Return,vwretd_day,Full (with interaction),117,0.09095301657058341,0.09869700888144572,0.007743992310862313,0.14953289461724573,0.058579878046662315,-0.03716526916798845,0.8460326165201069,-0.01732166105638517,0.008160905377522168
S&P 500,sp500_ret,FG,57,0.001816430653680201,0.04118605304634704,0.039369622392666836,0.008664697506190144,0.006848266852509943,155.6818276808673,0.1460745998906995,0.480150627606664,0.5477032138377286
S&P 500,sp500_ret,Non-FG,60,0.11493070730867105,0.11806883389895162,0.0031381265902805655,0.11969307272963092,0.004762365420959869,10.046940866057078,0.6570388622318521,-0.23348165944125374,0.5842254629241581
S&P 500,sp500_ret,Full (with interaction),117,0.029100007057193067,0.03574448949370024,0.006644482436507171,0.04961681633358206,0.020516809276388992,0.25604808379248395,0.9900385924585435,1.0871591142783394,0.12553706037737852
NASDAQ,nasdaq_ret,FG,57,0.0012182361150722132,0.03882416398464028,0.03760592786956807,0.006815899149352989,0.005597663034280775,158.23847745881173,0.15574646133459702,0.4514578235316444,0.5869846119402268
NASDAQ,nasdaq_ret,Non-FG,60,0.0988267407593173,0.09936517123784783,0.0005384304785305272,0.11780985303200986,0.01898311227269256,-4.831845785700459,0.8554808810144552,-0.5412211398978486,0.2770188790530189
NASDAQ,nasdaq_ret,Full (with interaction),117,0.03392259231034456,0.034781258517297964,0.0008586662069534068,0.05657282978490896,0.022650237474564405,6.0388974243735785,0.7892671514518839,1.11574353306822,0.15153606310363493
10Y Treasury,ty10_chg,FG,57,0.11166438299861858,0.1264798739227324,0.014815490924113828,0.11426939045635132,0.002605007457732733,5.0274343993450685,0.34737575623286776,-0.015589160954821983,0.6945652304675598
10Y Treasury,ty10_chg,Non-FG,60,0.012555072228676356,0.03273244582153523,0.02017737359285887,0.05771274307682883,0.045157670848152476,1.026215410408996,0.2844102990782462,0.028961081636627417,0.10698634623826901
10Y Treasury,ty10_chg,Full (with interaction),117,0.007207565914153946,0.0213955298899009,0.014187963975746953,0.01513890648790428,0.007931340573750334,0.4557040890768201,0.6374573606310499,-0.007631168366638429,0.8204476771665202
Gold,gold_ret,FG,57,0.17228519057760128,0.1833738682407695,0.011088677663168234,0.30161756602083045,0.12933237544322918,-137.56590683351988,0.40006795554957575,-3.4741969088844695,0.0028184042249105776
Gold,gold_ret,Non-FG,60,0.03182374470150018,0.037580112026614265,0.005756367325114087,0.08421252799051904,0.05238878328901886,-17.09237233958401,0.5650829810826821,0.9727249329610572,0.07888575969690977
Gold,gold_ret,Full (with interaction),117,0.07012135022232058,0.08823883761557338,0.018117487393252807,0.13699544471836145,0.06687409449604087,-42.660904328826376,0.1495706357295986,-2.9091853338308615,0.004067521922994646
